,Unnamed: 0,Album,Artist
0,0,Lift Your Skinny Fists Like Antennas to Heaven!,Godspeed You Black Emperor!
1,1,The Complete Peel Sessions 1978-2004,The Fall
2,2,"Live 1966",Bob Dylan
3,3,The Great Deceiver (Pt. I),King Crimson
4,4,Live at Massey Hall 1971,Neil Young
5,5,Either Or,Elliott Smith
6,6,Blackstar,David Bowie
7,7,The Pet Sounds Sessions,The Beach Boys
8,8,Rust Never Sleeps,Neil Young & Crazy HorseNeil YoungCrazy Horse
9,9,"Sunshine Daydream",Grateful Dead
10,10,On the Beach,Neil Young
11,11,Velocity Design Comfort,Sweet Trip
12,12,Live Rust,Neil Young & Crazy HorseNeil YoungCrazy Horse
13,13,Everybody Knows This Is Nowhere,Neil Young with Crazy HorseNeil YoungCrazy Horse
14,14,Unleashed in the East,Judas Priest
15,15,Archive 1967-75,Genesis
16,16,Ys,Joanna Newsom
17,17,Bruce Springsteen & The E Street Band Live 1975-85,Bruce Springsteen & The E Street Band
18,18,Sun Bear Concerts Piano Solo: Recorded in Japan,Keith Jarrett
19,19,The Early Years 1965-1972,Pink Floyd
20,20,Live at the Fillmore East,Neil Young & Crazy HorseNeil YoungCrazy Horse
21,21,The Nightwatch: Live at the Amsterdam Concertgebouw November 23rd 1973,King Crimson
22,22,"Sign ""☮︎"" the Times",Prince
23,23,Rétrospective Vol. 1 & 2,Magma
24,24,Dream Letter: Live in London 1968,Tim Buckley
25,25,"Dick's Picks Volume Eight: Harpur College, Binghamton, NY, May 2, 1970",Grateful Dead
26,26,At the Mountains of Madness,Electric Masada
27,27,Art Blakey and The Jazz Messengers [Moanin'],Art Blakey and The Jazz Messengers
28,28,Die Mensch-Maschine,Kraftwerk
29,29,"Coltrane ""Live"" at the Village Vanguard",John Coltrane
30,30,"Dick's Picks Volume Four: Fillmore East, 2/13-14/70",Grateful Dead
31,31,'77 Live,Les Rallizes Dénudés
32,32,MTV Unplugged,Alice in Chains
33,33,The Noise ザ・ノイズ,Hijokaidan
34,34,Jimi Plays Monterey: Original Motion Picture Sound Track,Jimi Hendrix
35,35,Trans Europa Express,Kraftwerk
36,36,Cowboy Bebop CD-Box,Yoko Kanno / Seatbelts菅野よう子 [Yoko Kanno]Seatbelts
37,37,Boris at Last -Feedbacker-,Boris
38,38,C'era una volta il West,Ennio Morricone
39,39,Donkey Kong Country 2: Diddy's Kong Quest,David Wise
40,40,ゼルダの伝説: ムジュラの仮面 (The Legend of Zelda: Majora's Mask),近藤浩治 [Koji Kondo]
41,41,Mother 2: ギーグの逆襲,田中宏和 [Hirokazu Tanaka] & 鈴木慶一 [Keiichi Suzuki]
42,42,Weld,Neil Young & Crazy HorseNeil YoungCrazy Horse
43,43,Kyuss [Welcome to Sky Valley],Kyuss
44,44,NieR:Automata,岡部啓一 [Keiichi Okabe] & 帆足圭吾 [Keigo Hoashi]
45,45,The Bootleg Series Vol. 6: Live 1964 - Concert at Philharmonic Hall,Bob Dylan
46,46,Ascension [Edition I],John Coltrane
47,47,Tristan und Isolde (Bayreuth 1966),Chor und Orchester der Bayreuther Festspiele / Karl Böhm / Birgit Nilsson / Wolfgang Windgassen / Christa Ludwig / Martti Talvela / Eberhard WaechterOrchester der Bayreuther FestspieleChor der Bayreuther FestspieleKarl BöhmBirgit NilssonWolfgang WindgassenChrista LudwigMartti TalvelaEberhard Waechter
48,48,Black Sabbath Vol. 4,Black Sabbath
49,49,Live Shit: Binge & Purge,Metallica
50,50,ファイナルファンタジーVI (Final Fantasy VI),植松伸夫 [Nobuo Uematsu]
51,51,Tonight's the Night,Neil Young
52,52,The Nocturnes,Artur Rubinstein
53,53,塊魂サウンドトラック「塊フォルテッシモ魂」 (Katamari Damacy Soundtrack: Katamari Fortissimo Damacy),三宅優 [Yuu Miyake]
54,54,Flood,Boris
55,55,Have One on Me,Joanna Newsom
56,56,Fôrça bruta,Jorge Ben
57,57,ニンテンドーDS ポケモン ダイヤモンド&パール スーパーミュージックコレクション  (Nintendo DS Pokémon Diamond & Pearl Super Music Collection),"増田順一 [Junichi Masuda], 一之瀬剛 [Go Ichinose] & 佐藤仁美 [Hitomi Sato]"
58,58,The Bootleg Series Vol. 11: The Basement Tapes - Raw,Bob Dylan and The Band
59,59,Persona5,目黒将司 [Shoji Meguro]
60,60,Jenny Death: The Powers That B Disc 2,Death Grips
61,61,C'era una volta in America,Ennio Morricone
62,62,20 Years of Jethro Tull,Jethro Tull
63,63,12 Hits From Hell: The MSP Sessions,Misfits
64,64,John Lennon / Plastic Ono Band,John Lennon / Plastic Ono Band
65,65,Historic Performances Recorded at the Monterey International Pop Festival,Otis Redding / The Jimi Hendrix Experience
66,66,Roxy: Tonight's the Night Live,Neil Young
67,67,もののけ姫 (Mononoke-hime),久石譲 [Joe Hisaishi]
68,68,London 1986,Talk Talk
69,69,First Daze Here: The Vintage Collection,Pentagram
70,70,...And the Ambulance Died in His Arms,Coil
71,71,Bowie at the Beeb: The Best of the BBC Radio Sessions 68-72,David Bowie
72,72,Silent Shout: An Audio Visual Experience,The Knife
73,73,NieR Gestalt & RepliCant,"岡部啓一 [Keiichi Okabe], 石濱翔 [Kakeru Ishihama], 帆足圭吾 [Keigo Hoashi] & 隆文西村 [Takafumi Nishimura]"
74,74,You're Living All Over Me,Dinosaur
75,75,嵐 (Arashi),山下洋輔トリオ、 大駱駝艦、 ジェラルド大下Yosuke Yamashita Trio大駱駝艦 [Dairakudakan]Gerald Oshita
76,76,Different Stages / Live,Rush
77,77,Is There Anybody Out There? The Wall Live 1980-81,Pink Floyd
78,78,The Bootleg Series Vol. 8: Tell Tale Signs - Rare and Unreleased 1989-2006,Bob Dylan
79,79,Operation:LIVEcrime,Queensrÿche
80,80,Rock Dream,Boris With Merzbow
81,81,Live 1981-82,The Birthday Party
82,82,Nina Simone in Concert,Nina Simone
83,83,Live in Copenhagen,Mt. Eerie
84,84,Wrong,NoMeansNo
85,85,Song for My Father (Cantiga para meu pai),The Horace Silver Quintet
86,86,Visions of the Country,Robbie Basho
87,87,Recorded Live at the Monterey Jazz Festival,John Handy
88,88,ワンダと巨像 大地の咆哮 (Wander and the Colossus: Roar of the Earth),大谷幸 [Ko Otani]
89,89,Don't Break the Oath,Mercyful Fate
90,90,Deliquescence,Swans
91,91,Lamentations: Live at Shepherd's Bush Empire 2003,Opeth
92,92,プネウマ (Pneuma),青葉市子+三宅純+山本達久+渡辺等青葉市子 [Ichiko Aoba]Jun Miyake山本達久 [Tatsuhisa Yamamoto]Hitoshi Watanabe
93,93,Red House Painters [Rollercoaster],Red House Painters
94,94,Coma Divine: Recorded Live in Rome,Porcupine Tree
95,95,Something Else by The Kinks,The Kinks
96,96,DK Jamz: The Original Donkey Kong Country Soundtrack,David Wise / Eveline Fischer
97,97,Zuma,Neil Young with Crazy HorseNeil YoungCrazy Horse
98,98,Bergtatt: Et eeventyr i 5 capitler,Ulver
99,99,Solo-Concerts: Bremen and Lausanne,Keith Jarrett
100,100,千と千尋の神隠し (Sen to Chihiro no kamikakushi),久石譲 [Joe Hisaishi]
101,101,Albert Ayler in Greenwich Village,Albert Ayler
102,102,Deep Purple in Concert,Deep Purple
103,103,The 6 String Quartets,Takács Quartet
104,104,Live at Wembley '86,Queen
105,105,The Bootleg Series Vol. 7: No Direction Home: The Soundtrack,Bob Dylan
106,106,Persona4,目黒将司 [Shoji Meguro]
107,107,救済の技法 (Kyuusai no gihou),平沢進 [Susumu Hirasawa]
108,108,Elvis: TV Special,Elvis Presley
109,109,Like an Ever Flowing Stream,Dismember
110,110,Live in Sevilla 2000,Masada
111,111,Fare Forward Voyagers (Soldier's Choice),John Fahey
112,112,Stravinsky Conducts Le Sacre du printemps,Columbia Symphony Orchestra / Igor Stravinsky
113,113,It's Your World,Gil Scott-Heron and Brian Jackson
114,114,Vision Creation Newsun,Boredoms
115,115,Live in Germany 1976,Rainbow
116,116,Microphones in 2020,The Microphones
117,117,The Lord of the Rings: The Return of the King,Howard Shore
118,118,Way Down in the Rust Bucket,Neil Young with Crazy HorseNeil YoungCrazy Horse
119,119,Dead as Dreams,Weakling
120,120,Disco Elysium,British Sea Power
121,121,Masked Dancers: Concern in So Many Things You Forget Where You Are,The Brave Little Abacus
122,122,Symphonie No. 9 / Moldau,Wiener Philharmoniker / Herbert von Karajan
123,123,Twin Peaks: Limited Event Series Soundtrack,Angelo Badalamenti
124,124,"""Windswept Adan” Concert at Bunkamura Orchard Hall",青葉市子 [Ichiko Aoba]
125,125,Tango: Zero Hour / Nuevo Tango: Hora Zero,Astor Piazzolla and The New Tango Quintet
126,126,Unquestionable Presence,Atheist
127,127,"Live at the Old Waldorf, San Francisco, 6/29/78",Television
128,128,Die Kunst der Fuge,Tatiana Nikolayeva
129,129,Live Kreation,Kreator
130,130,Persona3,目黒将司 [Shoji Meguro]
131,131,"""Evergrace""",星野康太 [Kota Hoshino]
132,132,Os afro-sambas de Baden e Vinícius,Baden Powell & Vinicius de Moraes
133,133,Sechs Suiten für Violoncello Solo BWV 1007-1012,Pierre Fournier
134,134,"Town Hall Concert 1964, Vol. 1",Charles Mingus
135,135,Music for 18 Musicians,Grand Valley State University New Music Ensemble
136,136,4 Balladen; Barcarolle; Fantasie,Krystian Zimerman
137,137,剣風伝奇ベルセルク (Berserk),平沢進 [Susumu Hirasawa]
138,138,The Dance of the Moon and the Sun,Natural Snow Buildings
139,139,Kingdom Hearts II Original Soundtrack,下村陽子 [Yoko Shimomura]
140,140,The Legend of Zelda: Breath of the Wild,片岡真央 [Manaka Kataoka] / 岩田恭明 [Yasuaki Iwata] / 若井淑 [Hajime Wakai]
141,141,Live at the Cellar Door,Neil Young
142,142,R4™ / Ridge Racer Type 4 / Direct Audio,*Namco Consumer Software Sound Team
143,143,Mulholland Dr.,Angelo Badalamenti & David Lynch
144,144,Court and Spark,Joni Mitchell
145,145,My Funny Valentine: Miles Davis in Concert,Miles Davis
146,146,ABC Music: The Radio 1 Sessions,Stereolab
147,147,무너지기 (Crumbling),공중도둑 [Mid-Air Thief]
148,148,Feldman Edition 6: String Quartet No. 2,FLUX Quartet
149,149,悪魔城ドラキュラX～月下の夜想曲～ (Akumajo Dracula X ~Gekka no Nocturne~),山根ミチル [Michiru Yamane]
150,150,アダンの風 (Windswept Adan),青葉市子 [Ichiko Aoba]
151,151,First Meditations (For Quartet),John Coltrane
152,152,Apostrophe ('),Frank Zappa
153,153,'Four' & More: Recorded Live in Concert,Miles Davis
154,154,Mi sei apparso come un fantasma,Songs: Ohia
155,155,渋星 (Shibuboshi),渋さ知らズ [Shibusashirazu]
156,156,ファイナルファンタジーX (Final Fantasy X),仲野順也 [Junya Nakano] / 浜渦正志 [Masashi Hamauzu] / 植松伸夫 [Nobuo Uematsu]
157,157,In Person at the Whisky a Go Go,Otis Redding
158,158,Remote Utopias: 2nd May 2020,Bladee / Ecco2K
159,159,Symphony No. 3 (Symphony of Sorrowful Songs); 3 Olden Style Pieces,Polish National Radio Symphony Orchestra / Antoni Wit / Zofia KilanowiczNarodowa Orkiestra Symfoniczna Polskiego Radia w KatowicachAntoni WitZofia Kilanowicz
160,160,Sonic the Hedgehog CD Original Soundtrack 20th Anniversary Edition,尾形雅史 [Masafumi Ogata] / 幡谷尚史 [Naofumi Hataya]
161,161,Live at Benaroya Hall,Pearl Jam
162,162,Fa-tal: Gal a todo vapor,Gal Costa
163,163,ピンポン オリジナルサウンドトラック,牛尾憲輔 [Kensuke Ushio]
164,164,Root Down: Jimmy Smith Live!,Jimmy Smith
165,165,If You're Feeling Sinister: Live at The Barbican,Belle & Sebastian
166,166,Divers,Joanna Newsom
167,167,Complete / Sämtliche / Les 21 Nocturnes,Claudio Arrau
168,0,Xenogears,光田康典 [Yasunori Mitsuda]
169,1,ゼノブレイド Xenoblade,下村陽子 [Yoko Shimomura] / 清田愛未 [Manami Kiyota] / ACE+
170,2,3 Gymnopédies & Other Piano Works · und andere Klavierstücke,Pascal Rogé
171,3,Samurai Champloo Music Record: Departure,Nujabes / Fat Jon
172,4,Haibane-Renmei: Hanenone,大谷幸 [Ko Otani]
173,5,Keeper of the Seven Keys Part II,Helloween
174,6,Can't Buy a Thrill,Steely Dan
175,7,Walter Carlos' Clockwork Orange,Wendy Carlos
176,8,Voyager 1,Verve
177,9,Jet Set Radio Future (ジェットセットラジオフューチャー),長沼英樹 [Hideki Naganuma]
178,10,Choir Concerto,Russian State Symphonic Cappella / Valery PolyanskyГосударственный камерный хор Министерства культуры СССР [USSR Ministry of Culture Chamber Choir]Валерий Полянский [Valeri Polyansky]
179,11,E·MO·TION,Carly Rae Jepsen
180,12,フリクリ (FLCL): OST 1 ~ Addict,the pillows
181,13,Die Kunst der Fuge,Evgeni Koroliov
182,14,The Wicker Man,Paul Giovanni / Gary Carpenter / Magnet
183,15,Dark to Themselves,Cecil Taylor Unit
184,16,真・女神転生III Nocturne (Shin Megami Tensei III: Nocturne),目黒将司 [Shoji Meguro] / 田崎寿子 [Toshiko Tasaki] / 土屋憲一 [Kenichi Tsuchiya]
185,17,Ascension [Edition II],John Coltrane
186,18,Neue Wiener Schule: Die Streichquartette,LaSalle Quartett
187,19,Lola Versus Powerman and the Moneygoround (Part One),The Kinks
188,20,I'm Still in Love With You,Al Green
189,21,Metal Box,PiL
190,22,Peace and Love,Dadawah
191,23,Tropicália ou panis et circencis,Various Artists
192,24,Jacques Brel [Ces gens-là],Jacques Brel
193,25,Tim Burton's The Nightmare Before Christmas,Danny Elfman
194,26,Arnold Schoenberg 2: Streichquartette I-IV,Arditti String Quartet / Dawn Upshaw
195,27,The Concert for Bangla Desh,Various Artists
196,28,Dopesmoker,Sleep
197,29,Symphonie Nr. 6 »Pastorale«,Wiener Philharmoniker / Karl Böhm
198,30,Симфония № 5,Академический симфонический оркестр Московской государственной филармонии / Кирилл Кондрашин [Kirill Kondrashin]
199,31,Requiem; Lontano; Continuum,Sinfonieorchester des Hessischen Rundfunks / Chor des Bayerischen Rundfunks / Sinfonieorchester des Südwestfunks / Michael Gielen / Wolfgang Schubert / Ernest Bour / Liliana Poli / Barbra Ericson / Antoinette Vischerhr-SinfonieorchesterChor des Bayerischen RundfunksSWR SinfonieorchesterMichael GielenWolfgang SchubertErnest BourLiliana PoliBarbro EricsonAntoinette Vischer
200,32,50th Birthday Celebration Vol. 4,Electric Masada
201,33,Young Shakespeare,Neil Young
202,34,Didn't It Rain,Songs: Ohia
203,35,"Performing ""flood""",Boris
204,36,"The Jazz Messengers at the Cafe Bohemia, Volume 1",The Jazz Messengers
205,37,Alchemy: Dire Straits Live,Dire Straits
206,38,Long Season '96~7 96.12.26 Akasaka Blitz,Fishmans
207,39,"あらためまして、はじめまして、ミドリです。 (Aratamemashite, hajimemashite, Midori desu.)",ミドリ [Midori]
208,40,Biomech,Ocean Machine
209,41,"Fas – Ite, maledicti, in ignem aeternum",Deathspell Omega
210,42,Le mystère des voix bulgares : volume 1,Le Mystère des voix bulgares
211,43,Deaf Dumb Blind (Summun Bukmun Umyun),Pharoah Sanders
212,44,"At the ""Golden Circle"" Stockholm, Volume One",The Ornette Coleman Trio
213,45,Street Fighter III: 3rd Strike - Fight for the Future,奥河英樹 [Hideki Okugawa]
214,46,The Fragile: Deviations 1,Nine Inch Nails
215,47,化物語 音楽全集 Songs & Soundtracks (Bakemonogatari Ongaku Zenshuu Songs & Soundtracks),神前暁 [Satoru Kosaki]
216,48,Get in the Van,Henry Rollins
217,49,6 String Quartets,Emerson String Quartet
218,50,Spirit They're Gone Spirit They've Vanished,Avey Tare and Panda BearAvey TarePanda Bear
219,51,Complete Works Opp 1-31,Pierre Boulez
220,52,Sonny's Dream (Birth of the New Cool),The Sonny Criss Orchestra
221,53,R.E.M. Live at the Olympia,R.E.M.
222,54,Live Four,Coil
223,55,Friday Night in San Francisco,"Al Di Meola, John McLaughlin & Paco de Lucía"
224,56,Buhloone Mind State,De La Soul
225,57,Revés / Yosoy,Café Tacvba
226,58,Jet Set Radio,長沼英樹 [Hideki Naganuma]
227,59,Live: Bursting Out,Jethro Tull
228,60,Live! In Tune and on Time,DJ Shadow
229,61,ニンテンドーDS ポケモンブラック・ホワイト スーパーミュージックコレクション (Nintendo DS Pokémon Black・White Super Music Collection),景山将太 [Shota Kageyama]
230,62,We're Only in It for the Money,The Mothers of Invention
231,63,Tektra,Roland Kayn
232,64,Les cinq quatuors à cordes; Trio à cordes; Khoom,Quatuor Arditti / Aldo Brizzi / Michiko Hirayama / Maurizio Ben Omar / Frank LloydArditti String QuartetAldo BrizziMichiko HirayamaMaurizio Ben OmarFrank Lloyd
233,65,"Athenaeum, Homebush, Quay & Raab",The Necks
234,66,革命京劇 (Revolutionary Pekinese Opera) Ver.1.28,Ground-Zero
235,67,Horse Rotorvator,Coil
236,68,The Hissing of Summer Lawns,Joni Mitchell
237,69,かがやき (Kagayaki),高木正勝 [Masakatsu Takagi]
238,70,Klavierkonzert Nr. 3 C-dur / Klavierkonzert G-dur,Berliner Philharmoniker / Claudio Abbado / Martha Argerich
239,71,Live Wire / Blues Power,Albert King
240,72,ゼルダの伝説 ～風のタクト～ (The Legend of Zelda: The Wind Waker),"永田権太 [Kenta Nagata], 若井淑 [Hajime Wakai], 峰岸透 [Toru Minegishi] & 近藤浩治 [Koji Kondo]"
241,73,"If I Could Do It All Over Again, I'd Do It All Over You",Caravan
242,74,Yasimika,Djeli Moussa Diawara
243,75,"The Well-Tuned Piano 81 X 25, 6:17:50 - 11:18:59 PM NYC",La Monte Young
244,76,Down on the Road by the Beach,Steve Hiett
245,77,Germfree Adolescents,X-Ray Spex
246,78,"24 Préludes, Op. 28; Préludes Nr. 25, Op. 45; Nr. 26, Op. Posth.",Martha Argerich
247,79,Requiem KV 626,Berliner Philharmoniker / Wiener Singverein / Herbert von Karajan / Wilma Lipp / Hilde Rössl-Majdan / Anton Dermota / Walter BerryBerliner PhilharmonikerWiener SingvereinHerbert von KarajanWilma LippHilde Rössel-MajdanAnton DermotaWalter Berry
248,80,"BBC Radio Theatre, London, June 27, 2000",David Bowie
249,81,It'll All Work Out in Boomland,T2
250,82,Radio One,Jimi Hendrix Experience
251,83,Theatre Royal Drury Lane 8th September 1974,Robert Wyatt & Friends
252,84,Tashi Plays Messiaen: Quartet for the End of Time,Tashi
253,85,Les stances à Sophie,Art Ensemble of Chicago
254,86,Stakes Is High,De La Soul
255,87,Novos Baianos F.C.,Novos Baianos
256,88,天使のたまご 音楽編 / 水に棲む (Tenshi no tamago ongaku hen / Mizu ni sumu),菅野由弘 [Yoshihiro Kanno]
257,89,Autechre [LP5],Autechre
258,90,"Burritos, Inspiration Point, Fork Balloon Sports, Cards in the Spokes, Automatic Biographies, Kites, Kung Fu, Trophies, Banana Peels We've Slipped On and Egg Shells We've Tippy Toed Over",Cap'n Jazz
259,91,Голос сталі,Nokturnal Mortum
260,92,Deus Ex: Game of the Year Edition,Alexander Brandon / Michiel van den Bos
261,93,Milagre dos peixes,Milton Nascimento
262,94,Vingt regards sur l'enfant-Jésus,Steven Osborne
263,95,Black Antlers,Coil
264,96,Live at Primavera Sound 2012,James Ferraro
265,97,あくまのうた (Akuma no uta),Boris
266,98,Conference of the Birds,David Holland Quartet
267,99,"György Ligeti Edition 3: Works for Piano - Études, Musica ricercata",Pierre-Laurent Aimard
268,100,"24 Préludes, Op. 28",Maurizio Pollini
269,101,Queen on Fire: Live at the Bowl,Queen
270,102,映画 聲の形 オリジナル・サウンドトラック A Shape of Light,牛尾憲輔 [Kensuke Ushio]
271,103,3 Feet High and Rising,De La Soul
272,104,The Nocturnal Silence,Necrophobic
273,105,のぶえの海 (Nobue no umi),河名伸江 [Nobue Kawana]
274,106,"Miles Davis in Person, Friday Night at the Blackhawk, San Francisco, Volume 1",Miles Davis
275,107,Below the Heavens,Blu & Exile
276,108,Bootleg Series Volume 1: The Quine Tapes,The Velvet Underground
277,109,放課後ティータイムII (Ho-kago Tea Time Second),放課後ティータイム [Hokago Tea Time]
278,110,Quattro pezzi per orchestra; Anahit; Uaxuctum,Orchestre et Chœur de la Radio-Télévision Polonaise de Cracovie / Jürg Wyttenbach / Carmen Fournier / Tristan MurailOrkiestra Polskiego Radia w KrakowieChór Polskiego Radia w KrakowieJürg WyttenbachCarmen FournierTristan Murail
279,111,Live in L.A. (Death & Raw),Death
280,112,Keeper of the Seven Keys Part I,Helloween
281,113,Nina Simone at Town Hall,Nina Simone
282,114,Geraes,Milton Nascimento
283,115,Last Date,Eric Dolphy
284,116,東方紅魔郷 ～ The Embodiment of Scarlet Devil. (Touhou Koumakyou),上海アリス幻樂団
285,117,Suite bergamasque; Children's Corner; Estampes; L'isle joyeuse; La fille aux cheveux de lin; La plus que lente; Etude pour les arpèges,Alexis Weissenberg
286,118,Œuvres d'Erik Satie,Aldo Ciccolini / Gabriel Tacchino
287,119,Nothingface,Voivod
288,120,Poppy Nogood and the Phantom Band: All Night Flight Vol.1,Terry Riley
289,121,Live at the Troubadour 1969,Tim Buckley
290,122,Concerto grosso I; Concerto for Oboe and Harp; Concerto for Piano and Strings,New Stockholm Chamber Orchestra / Lev MarkizStockholms nya kammarorkesterLev Markiz
291,123,The Milk-Eyed Mender,Joanna Newsom
292,124,"Paris, Texas",Ry Cooder
293,125,Blast From the Past,Gamma Ray
294,126,20 palavras ao redor do Sol,Cátia de França
295,127,"Hardcore Devo, Vol. 1: 74-77",Devo
296,128,Warszawa,Porcupine Tree
297,129,BBC Sessions,Cocteau Twins
298,130,Chewed Up,Louis C.K.
299,131,Meat Puppets II,Meat Puppets
300,132,Ewa Demarczyk śpiewa piosenki Zygmunta Koniecznego,Ewa Demarczyk
301,133,Niggas on the Moon: The Powers That B Disc 1,Death Grips
302,134,Never Turn Your Back on a Friend,Budgie
303,135,Tindersticks [II],Tindersticks
304,136,"The Godfather, Part II",Nino Rota / Carmine Coppola
305,137,I See a Darkness,Bonnie 'Prince' Billy
306,138,Kraan Live,Kraan
307,139,Parental Advisory: Explicit Lyrics,George Carlin
308,140,Naked City,John Zorn
309,141,Different Trains; Electric Counterpoint,Kronos Quartet / Pat Metheny
310,142,Adnos I-III,Eliane Radigue
311,143,Isn't Anything,My Bloody Valentine
312,144,For Philip Guston,The California EAR Unit
313,145,The Incredible Jazz Guitar of Wes Montgomery,Wes Montgomery
314,146,Da Devil's Playground: Underground Solo,Koopsta Knicca
315,147,"At the ""Golden Circle"" Stockholm, Volume Two",The Ornette Coleman Trio
316,148,4 Way Street,"Crosby, Stills, Nash & Young"
317,149,I'm in Your Mind Fuzz,King Gizzard & the Lizard Wizard
318,150,Darwin!,Banco del Mutuo Soccorso
319,151,Winterkaelte,Paysage d'Hiver
320,152,Rothko Chapel; Why Patterns?,UC Berkeley Chamber Chorus / The California EAR Unit / Philip Brett / David Abel / Karen Rosenak / William Winant / Dorothy Stone / Arthur Jarvinen / Gaylord Mowrey
321,153,Volume 6: Days Have Gone By,John Fahey
322,154,HBO (Haitian Body Odor),Mach-Hommy
323,155,Ladies of the Canyon,Joni Mitchell
324,156,The Gate,Swans
325,157,Préludes · Volume 1,Arturo Benedetti Michelangeli
326,158,Miles of Aisles,Joni Mitchell and the L.A. ExpressJoni MitchellL.A. Express
327,159,Chopin / Brahms / Liszt / Ravel / Prokofieff,Martha Argerich
328,160,Il était une forêt...,Gris
329,161,大勘定 (Daikanjyo),"明田川荘之 [Shoji Aketagawa], 三上寛 [Kan Mikami] & 石塚俊明 [Toshiaki Ishizuka]"
